Genus,depth,Percent_Abundance,guild
Arcobacter_AB2,4.5,0.040812162,4
Cocleimonas_AB1,4.5,0.019076688,4
Cocleimonas_AB2,4.5,0.040812162,4
Thiobacillus_AB1,4.5,0.057230065,4
Thiobacillus_AB2,4.5,0.020406081,4
Sulfurimonas_AB1,4.5,0.267073636,4
Sulfurimonas_AB2,4.5,0.091827365,4
Sulfurovum_AB1,4.5,0.038153377,4
Sulfurovum_AB2,4.5,0.020406081,4
Mariprofundus_AB1,4.5,0.076306753,5
Mariprofundus_AB2,4.5,0.051015203,5
Deferrisoma_AB1,4.5,0.247996948,3
Deferrisoma_AB2,4.5,0.142842567,3
Geobacter_AB1,4.5,0.057230065,3
Geobacter_AB2,4.5,0.061218243,3
Geothermobacter_AB1,4.5,0.038153377,3
Geothermobacter_AB2,4.5,0.020406081,3
Geopsychrobacter_AB1,4.5,0.019076688,3
Geopsychrobacter_AB2,4.5,0.040812162,3
Sva1033_unclassified_AB1,4.5,0.419687142,2
Sva1033_unclassified_AB2,4.5,0.979491889,2
Desulfuromusa_AB1,4.5,0.076306753,3
Desulfuromusa_AB2,4.5,0.040812162,3
SEEP-SRB1_AB1,4.5,0.11446013,1
SEEP-SRB1_AB2,4.5,0.051015203,1
Desulfobacula_AB1,4.5,0.247996948,1
Desulfobacula_AB2,4.5,0.306091215,1
Desulfosarcina_AB1,4.5,0.038153377,1
Desulfosarcina_AB2,4.5,0.030609122,1
Gallionella_AB1,4.5,0,5
Gallionella_AB2,4.5,0,5
Fe/SO42-,5.5,3.525403113,-9
SRB,5.5,1.254495653,-10
FeRB,5.5,0.710545011,-8
SOB,5.5,0.627529901,-7
FeOB,5.5,0.115656998,-6
Desulfobulbus_AB1,5.5,0.66412087,2
Desulfobulbus_AB2,5.5,1.608667104,2
Desulfococcus_AB1,5.5,0.016603022,1
Desulfococcus_AB2,5.5,0.098489823,1
Sva0081_sediment_group_AB1,5.5,0.28225137,1
Sva0081_sediment_group_AB2,5.5,0.229809586,1
Arcobacter_AB1,5.5,0.016603022,4
Arcobacter_AB2,5.5,0.01641497,4
Cocleimonas_AB1,5.5,0.049809065,4
Cocleimonas_AB2,5.5,0.032829941,4
Thiobacillus_AB1,5.5,0.033206043,4
Thiobacillus_AB2,5.5,0.01641497,4
Sulfurimonas_AB1,5.5,0.199236261,4
Sulfurimonas_AB2,5.5,0.196979645,4
Sulfurovum_AB1,5.5,0.033206043,4
Sulfurovum_AB2,5.5,0.032829941,4
Mariprofundus_AB1,5.5,0.066412087,5
Mariprofundus_AB2,5.5,0.049244911,5
Deferrisoma_AB1,5.5,0.215839283,3
Deferrisoma_AB2,5.5,0.131319764,3
Geobacter_AB1,5.5,0.066412087,3
Geobacter_AB2,5.5,0.049244911,3
Geothermobacter_AB1,5.5,0.033206043,3
Geothermobacter_AB2,5.5,0.032829941,3
Geopsychrobacter_AB1,5.5,0.033206043,3
Geopsychrobacter_AB2,5.5,0.01641497,3
Sva1033_unclassified_AB1,5.5,0.448281587,2
Sva1033_unclassified_AB2,5.5,0.804333552,2
Desulfuromusa_AB1,5.5,0.066412087,3
Desulfuromusa_AB2,5.5,0.065659882,3
SEEP-SRB1_AB1,5.5,0.083015109,1
SEEP-SRB1_AB2,5.5,0.065659882,1
Desulfobacula_AB1,5.5,0.182633239,1
Desulfobacula_AB2,5.5,0.213394616,1
Desulfosarcina_AB1,5.5,0.049809065,1
Desulfosarcina_AB2,5.5,0.032829941,1
Gallionella_AB1,5.5,0,5
Gallionella_AB2,5.5,0,5
Fe/SO42-,6.5,3.3652614,-9
SRB,6.5,1.196492006,-10
FeRB,6.5,0.638948479,-8
SOB,6.5,0.495947366,-7
FeOB,6.5,0.099031207,-6
Desulfobulbus_AB1,6.5,0.624691764,2
Desulfobulbus_AB2,6.5,1.497338066,2
Desulfococcus_AB1,6.5,0.065757028,1
Desulfococcus_AB2,6.5,0.14418811,1
Sva0081_sediment_group_AB1,6.5,0.230149597,1
Sva0081_sediment_group_AB2,6.5,0.232919255,1
Arcobacter_AB1,6.5,0.016439257,4
Arcobacter_AB2,6.5,0.022182786,4
Cocleimonas_AB1,6.5,0.032878514,4
Cocleimonas_AB2,6.5,0.022182786,4
Thiobacillus_AB1,6.5,0.032878514,4
Thiobacillus_AB2,6.5,0,4
Sulfurimonas_AB1,6.5,0.147953313,4
Sulfurimonas_AB2,6.5,0.155279503,4
Sulfurovum_AB1,6.5,0.032878514,4
Sulfurovum_AB2,6.5,0.033274179,4
Mariprofundus_AB1,6.5,0.065757028,5
Mariprofundus_AB2,6.5,0.033274179,5
Deferrisoma_AB1,6.5,0.21371034,3
Deferrisoma_AB2,6.5,0.166370896,3
Geobacter_AB1,6.5,0.032878514,3
Geobacter_AB2,6.5,0.033274179,3
Geothermobacter_AB1,6.5,0.016439257,3
Geothermobacter_AB2,6.5,0.022182786,3
Geopsychrobacter_AB1,6.5,0.016439257,3
Geopsychrobacter_AB2,6.5,0.011091393,3
Sva1033_unclassified_AB1,6.5,0.37810291,2
Sva1033_unclassified_AB2,6.5,0.86512866,2
Desulfuromusa_AB1,6.5,0.082196285,3
Desulfuromusa_AB2,6.5,0.044365572,3
SEEP-SRB1_AB1,6.5,0.115074799,1
SEEP-SRB1_AB2,6.5,0.055456965,1
Desulfobacula_AB1,6.5,0.131514056,1
Desulfobacula_AB2,6.5,0.166370896,1
Desulfosarcina_AB1,6.5,0.032878514,1
Desulfosarcina_AB2,6.5,0.022182786,1
Gallionella_AB1,6.5,0,5
Gallionella_AB2,6.5,0,5
Fe/SO42-,7.5,4.864690007,-9
SRB,7.5,1.668350118,-10
FeRB,7.5,0.60733274,-8
SOB,7.5,0.527428625,-7
FeOB,7.5,0.096932115,-6
Desulfobulbus_AB1,7.5,1.378345985,2
Desulfobulbus_AB2,7.5,1.538461538,2
Desulfococcus_AB1,7.5,0.199760288,1
Desulfococcus_AB2,7.5,0.125356125,1
Sva0081_sediment_group_AB1,7.5,0.399520575,1
Sva0081_sediment_group_AB2,7.5,0.262108262,1
Arcobacter_AB1,7.5,0.039952058,4
Arcobacter_AB2,7.5,0.011396011,4
Cocleimonas_AB1,7.5,0.019976029,4
Cocleimonas_AB2,7.5,0.022792023,4
Thiobacillus_AB1,7.5,0,4
Thiobacillus_AB2,7.5,0.011396011,4
Sulfurimonas_AB1,7.5,0.119856173,4
Sulfurimonas_AB2,7.5,0.205128205,4
Sulfurovum_AB1,7.5,0.039952058,4
Sulfurovum_AB2,7.5,0.056980057,4
Mariprofundus_AB1,7.5,0.039952058,5
Mariprofundus_AB2,7.5,0.056980057,5
Deferrisoma_AB1,7.5,0.15980823,3
Deferrisoma_AB2,7.5,0.136752137,3
Geobacter_AB1,7.5,0.039952058,3
Geobacter_AB2,7.5,0.056980057,3
Geothermobacter_AB1,7.5,0.019976029,3
Geothermobacter_AB2,7.5,0.034188034,3
Geopsychrobacter_AB1,7.5,0.019976029,3
Geopsychrobacter_AB2,7.5,0.022792023,3
Sva1033_unclassified_AB1,7.5,1.218537755,2
Sva1033_unclassified_AB2,7.5,0.729344729,2
Desulfuromusa_AB1,7.5,0.059928086,3
Desulfuromusa_AB2,7.5,0.056980057,3
SEEP-SRB1_AB1,7.5,0.119856173,1
SEEP-SRB1_AB2,7.5,0.07977208,1
Desulfobacula_AB1,7.5,0.259688374,1
Desulfobacula_AB2,7.5,0.15954416,1
Desulfosarcina_AB1,7.5,0.039952058,1
Desulfosarcina_AB2,7.5,0.022792023,1
Gallionella_AB1,7.5,0,5
Gallionella_AB2,7.5,0,5
Fe/SO42-,8.5,6.699841242,-9
SRB,8.5,1.640473692,-10
FeRB,8.5,0.513968092,-8
SOB,8.5,0.618673785,-7
FeOB,8.5,0.186442881,-6
Desulfobulbus_AB1,8.5,1.780250348,2
Desulfobulbus_AB2,8.5,2.185852373,2
Desulfococcus_AB1,8.5,0.157626333,1
Desulfococcus_AB2,8.5,0.175746924,1
Sva0081_sediment_group_AB1,8.5,0.370885489,1
Sva0081_sediment_group_AB2,8.5,0.285588752,1
Arcobacter_AB1,8.5,0.009272137,4
Arcobacter_AB2,8.5,0.021968366,4
Cocleimonas_AB1,8.5,0.009272137,4
Cocleimonas_AB2,8.5,0.021968366,4
