Number_of_sequences,AB-1-0-1,AB-1-1-2,AB-1-10-11,AB-1-11-12,AB-1-12-13,AB-1-14-15,AB-1-2-3,AB-1-3-4,AB-1-4-5,AB-1-5-6,AB-1-6-7,AB-1-7-8,AB-1-8-9,AB-1-9-10
8000,1493.743,1788.199,2662.841,1931.229,2091.621,1775,1791.336,1658.657,1817,1962,2001.095,1845.879,2459.097,2715.298
8100,1504.562,1800.827,2686.581,1946.028,2106.852,1789,1803.682,1670.335,1826,1981,2016.086,1859.197,2481.594,2740.608
8200,1515.447,1813.717,2710.256,1960.493,2121.27,1804,1816.713,1682.372,1841,1998,2030.972,1871.84,2502.47,2765.608
8300,1525.284,1825.402,2734.421,1975.258,2135.908,1815,1828.977,1693.069,1858,2013,2045.291,1885.3,2524.016,2790.426
8400,1535.608,1838.337,2758.439,1990.754,2150.391,1826,1841.882,1705.187,1871,2029,2059.677,1897.904,2546.287,2814.917
8500,1545.743,1850.706,2781.467,2005.952,2166.496,1834,1854.556,1716.754,1880,2039,2073.791,1910.961,2566.869,2838.961
8600,1555.454,1862.84,2804.326,2020.031,2180.651,1841,1867.101,1727.872,1896,2057,2088.192,1924.329,2588.295,2863.655
8700,1566.011,1875.333,2825.869,2034.579,2195.172,1852,1880.25,1739.259,1906,2068,2103.432,1937.12,2609.016,2887.785
8800,1575.824,1887.845,2849.754,2049.761,2210.23,1868,1892.623,1750.213,1916,2085,2117.25,1948.94,2631.296,2912.208
8900,1586.947,1900.032,2872.218,2064.773,2224.68,1874,1904.74,1761.146,1930,2100,2132.475,1961.451,2652.81,2937.101
9000,1597.403,1911.872,2894.727,2079.272,2238.411,1887,1916.939,1772.427,1945,2114,2146.943,1974.776,2673.368,2962.796
9100,1606.955,1923.263,2917.767,2093.54,2252.27,1897,1928.726,1783.194,1958,2127,2160.817,1986.518,2694.917,2986.461
9200,1615.988,1935.513,2941.509,2108.283,2266.84,1907,1940.846,1794.69,1969,2144,2175.32,1999.077,2715.348,3010.077
9300,1625.852,1947.257,2964.366,2122.212,2280.916,1918,1954.311,1805.511,1984,2156,2189.672,2010.803,2736.62,3034.958
9400,1635.823,1958.909,2988.065,2136.179,2295.064,1933,1967.109,1817.358,1998,2170,2203.454,2022.984,2757.317,3058.375
9500,1645.659,1970.715,3011.945,2150.967,2308.746,1945,1978.983,1828.548,2006,2184,2217.492,2034.291,2777.683,3081.48
9600,1655.232,1982.242,3036.3,2165.734,2322.47,1959,1990.634,1839.646,2017,2194,2231.421,2046.552,2799.819,3104.678
9700,1665.021,1994.192,3058.667,2180.378,2337.067,1969,2002.343,1850.111,2031,2210,2244.876,2058.394,2820.955,3128.452
9800,1673.873,2005.182,3081.012,2194.937,2350.693,1982,2014.024,1860.751,2040,2220,2258.892,2070.691,2842.327,3153.894
9900,1683.119,2017.442,3104.186,2208.437,2364.046,1993,2026.119,1871.326,2053,2235,2272.511,2082.138,2863.046,3178.035
10000,1692.916,2028.869,3125.918,2221.729,2376.735,2005,2037.162,1881.973,2069,2248,2286.098,2093.478,2884.38,3200.69
10100,1702.391,2040.362,3149.734,2234.887,2390.524,2015,2048.825,1892.021,2080,2262,2299.621,2105.392,2904.784,3225.214
10200,1711.699,2051.844,3173.006,2248.433,2403.96,2021,2060.77,1902.395,2094,2273,2313.204,2117.455,2925.182,3249.431
