Number_of_sequences,AB-1-0-1,AB-1-1-2,AB-1-10-11,AB-1-11-12,AB-1-12-13,AB-1-14-15,AB-1-2-3,AB-1-3-4,AB-1-4-5,AB-1-5-6,AB-1-6-7,AB-1-7-8,AB-1-8-9,AB-1-9-10
,9695.798,9033.852,NA,11725.695,9842.715,10337.186,8718.736,7959.232,8671.225,8930.423,8304.975,13004.381,NA,12898.671
,9700.531,9037.76,NA,11731.941,9846.759,10342.394,8722.558,7962.365,8674.663,8934.323,8308.267,13010.89,NA,12905.643
,9705.418,9041.338,NA,11738.424,9851.011,10347.701,8726.486,7965.543,8678.319,8937.843,8311.635,13017.395,NA,12913.264
,9710.746,9045.289,NA,11745.052,9855.2,10352.571,8730.493,7968.884,8681.612,8941.337,8314.829,13024.342,NA,12919.353
,9715.182,9048.863,NA,11750.481,9858.46,10356.944,8733.558,7971.569,8684.703,8944.658,8317.491,13030.601,NA,12925
,9715.942,9049.544,NA,11751.415,9859.075,10357.891,8734.302,7972.067,8685.108,8945.093,8317.943,13031.569,NA,NA
,9721.37,9053.664,NA,11757.321,9863.191,10363.112,8738.248,7975.979,8688.942,8948.438,8321.077,13038.252,NA,NA
,9726.227,9057.322,NA,11763.134,9867.293,10368.386,8742.366,7979.645,8692.364,8951.881,8324.327,13044.799,NA,NA
,9731.819,9061.687,NA,11770.088,9871.468,10373.71,8746.137,7983.355,8695.952,8955.344,8327.69,13051.692,NA,NA
,9736.701,9065.801,NA,11776.742,9875.785,10379.091,8749.985,7986.435,8699.451,8958.743,8330.95,13058.249,NA,NA
,9741.807,9069.543,NA,11783.198,9880.334,10384.167,8753.617,7990.278,8702.918,8962.433,8334.402,13065.875,NA,NA
,9746.967,9073.421,NA,11789.957,9884.424,10389.187,8757.262,7993.487,8706.938,8966.686,8337.563,13072.547,NA,NA
,9751.98,9077.626,NA,11796.587,9888.643,10394.293,8760.626,7996.912,8710.455,8970.342,8340.639,13079.659,NA,NA
,9756.937,9081.771,NA,11802.928,9892.986,10399.503,8764.165,8000.301,8713.732,8974.213,8343.772,13086.927,NA,NA
,9761.762,9085.79,NA,11809.307,9897.37,10404.397,8767.881,8004.182,8717.412,8977.754,8346.616,13094.144,NA,NA
,9766.966,9089.923,NA,11815.73,9901.102,10409.232,8771.996,8007.335,8721.204,8981.65,8349.845,13101.552,NA,NA
,9771.836,9094.152,NA,11821.921,9905.185,10414.75,8775.785,8010.941,8724.85,8985.577,8353.005,13108.84,NA,NA
,9776.742,9097.644,NA,11828.899,9909.553,10420.109,8779.566,8014.009,8728.383,8989.414,8356.161,13116.519,NA,NA
,9781.92,9101.447,NA,11835.422,9913.268,10425.22,8783.286,8017.07,8732.026,8992.967,8359.227,13123.102,NA,NA
,9786.782,9105.409,NA,11841.613,9917.422,10430.72,8786.441,8019.975,8735.375,8997.024,8362.618,13130.083,NA,NA
,9791.576,9109.296,NA,11847.982,9922.016,10436.108,8789.98,8023.528,8738.748,9000.614,8366.086,13137.662,NA,NA
,9796.819,9113.527,NA,11854.614,9926.303,10441.135,8793.386,8027.348,8742.228,9004.527,8369.513,13144.178,NA,NA
,9801.764,9117.145,NA,11860.409,9930.219,10446.034,8796.934,8030.595,8745.978,9008.106,8372.61,13150.838,NA,NA
,9806.89,9120.754,NA,11866.846,9934.317,10451.395,8801.022,8034.098,8749.673,9011.578,8375.615,13157.792,NA,NA
,9812.011,9124.99,NA,11873.044,9938.69,10456.304,8804.674,8037.28,8753.175,9014.955,8378.995,13165.286,NA,NA
,9817.357,9128.662,NA,11879.336,9942.856,10461.494,8807.982,8040.992,8757.184,9018.462,8382.147,13172.005,NA,NA
,9822.596,9132.572,NA,11885.65,9946.919,10466.771,8811.711,8044.311,8760.651,9021.802,8385.281,13178.952,NA,NA
,9827.695,9136.254,NA,11892.372,9951.447,10471.894,8815.515,8047.793,8764.356,9025.417,8388.614,13186.137,NA,NA
,9832.521,9140.356,NA,11898.667,9955.638,10477.255,8819.108,8051.241,8767.746,9029.155,8391.189,13193.271,NA,NA
,9837.409,9143.923,NA,11905.118,9960.115,10482.407,8823.105,8054.68,8771.419,9032.761,8394.094,13199.889,NA,NA
,9842.945,9147.661,NA,11911.345,9963.871,10487.644,8826.497,8058.067,8774.79,9036.873,8397.177,13206.619,NA,NA
,9848.068,9151.867,NA,11917.651,9967.503,10493.457,8829.966,8061.724,8778.037,9040.944,8400.416,13213.252,NA,NA
,9853.102,9155.497,NA,11924.23,9971.872,10498.888,8833.869,8065.35,8781.725,9044.152,8403.963,13220.554,NA,NA
,9858.194,9159.553,NA,11930.53,9975.619,10504.432,8837.621,8068.943,8785.604,9047.603,8406.935,13227.875,NA,NA
,9863.311,9163.791,NA,11936.353,9979.733,10509.548,8840.989,8072.154,8789.351,9051.384,8410.305,13234.429,NA,NA
,9869.016,9167.746,NA,11942.555,9983.874,10514.597,8844.528,8075.301,8792.786,9054.918,8413.254,13241.713,NA,NA
,9873.531,9171.819,NA,11948.877,9988.073,10519.993,8848.01,8078.28,8796.417,9058.211,8416.352,13248.58,NA,NA
,9878.268,9175.717,NA,11954.965,9992.164,10524.814,8851.546,8081.919,8799.803,9061.56,8419.499,13255.172,NA,NA
,9883.532,9179.903,NA,11961.291,9996.278,10530.598,8855.454,8084.77,8802.79,9064.738,8422.526,13262.116,NA,NA
,9888.845,9184.124,NA,11967.293,10000.252,10535.786,8859.225,8087.722,8806.681,9067.946,8425.75,13268.804,NA,NA
,9894.173,9188.162,NA,11973.504,10004.602,10541.07,8862.931,8091.237,8810.072,9071.035,8428.78,13275.647,NA,NA
,9899.416,9191.975,NA,11979.285,10008.859,10546.498,8866.514,8094.233,8813.854,9074.558,8431.925,13282.557,NA,NA
,9904.507,9195.979,NA,11985.539,10012.939,10551.644,8870.355,8097.776,8817.132,9078.383,8434.695,13289.474,NA,NA
,9909.401,9200.107,NA,11991.623,10017.155,10556.528,8874.345,8100.849,8820.616,9081.489,8437.839,13296.272,NA,NA
,9914.45,9204.212,NA,11997.742,10021.099,10561.161,8878.102,8104.189,8824.185,9085.196,8440.969,13303.751,NA,NA
,9919.128,9208.181,NA,12003.794,10025.488,10565.996,8881.653,8107.501,8827.178,9088.728,8444.505,13310.984,NA,NA
,9924.106,9212.203,NA,12010.641,10029.27,10571.357,8885.044,8110.811,8830.913,9092.408,8447.654,13317.445,NA,NA
,9929.267,9216.582,NA,12016.662,10033.736,10577.141,8888.786,8114.162,8834.089,9096.199,8451.141,13324.23,NA,NA
,9933.948,9220.496,NA,12022.805,10037.599,10582.064,8892.221,8117.845,8837.471,9099.614,8453.916,13330.8,NA,NA
,9938.625,9224.35,NA,12028.596,10041.914,10587.24,8895.913,8120.935,8840.953,9103.372,8457.341,13337.799,NA,NA
,9944.123,9228.236,NA,12035.131,10045.913,10591.629,8899.747,8124.283,8844.357,9106.996,8460.115,13345.169,NA,NA
,9948.848,9232.343,NA,12040.986,10049.93,10596.923,8903.63,8127.782,8847.834,9110.894,8462.868,13352.272,NA,NA
,9954.25,9236.181,NA,12047.119,10053.759,10601.941,8907.4,8131.269,8851.166,9114.292,8466.288,13359.162,NA,NA
,9959.164,9240.318,NA,12053.341,10057.951,10607.327,8911.113,8135.021,8854.733,9117.91,8469.656,13366.214,NA,NA
,9963.845,9243.944,NA,12059.784,10061.973,10612.574,8914.785,8138.306,8857.703,9121.137,8472.924,13372.823,NA,NA
,9969.21,9247.306,NA,12065.817,10066.166,10617.958,8918.134,8141.738,8861.321,9125.023,8475.838,13379.656,NA,NA
,9974.194,9251.047,NA,12072.276,10070.29,10623.11,8921.874,8145.251,8864.485,9128.365,8478.705,13386.384,NA,NA
,9979.002,9254.923,NA,12078.538,10074.443,10628.357,8925.702,8148.326,8868.056,9131.575,8481.824,13393.279,NA,NA
,9984.038,9258.956,NA,12084.722,10079.067,10633.371,8929.297,8152.048,8871.169,9134.967,8484.923,13400.199,NA,NA
,9989.323,9263.098,NA,12091.195,10083.526,10638.498,8933.135,8155.272,8874.749,9138.824,8488.179,13407.158,NA,NA
,9994.613,9266.83,NA,12097.131,10088.208,10643.585,8936.494,8158.564,8878.271,9142.567,8490.889,13414.176,NA,NA
,9999.761,9270.797,NA,12103.182,10092.182,10648.83,8940.605,8161.576,8881.609,9146.021,8493.928,13420.884,NA,NA
,10004.591,9274.589,NA,12109.485,10096.435,10654.044,8944.373,8164.859,8885.015,9149.371,8497.103,13427.683,NA,NA
,10009.59,9278.699,NA,12115.458,10100.576,10659.401,8948.049,8168.273,8887.893,9152.942,8500.207,13434.062,NA,NA
,10014.669,9282.885,NA,12121.821,10104.386,10664.372,8951.8,8171.698,8891.136,9156.197,8503.481,13440.978,NA,NA
,10019.691,9286.701,NA,12128.024,10108.507,10669.503,8955.174,8174.977,8894.649,9159.712,8506.79,13447.651,NA,NA
,10025.191,9290.456,NA,12134.372,10112.69,10674.765,8959.056,8178.109,8898.009,9163.12,8509.621,13454.51,NA,NA
,10030.125,9294.243,NA,12140.736,10117.45,10679.689,8962.307,8181.745,8901.149,9166.821,8513.103,13461.274,NA,NA
,10035.028,9298.496,NA,12147.435,10121.523,10684.886,8966.309,8185.006,8904.458,9170.241,8516.079,13468.197,NA,NA
,10040.122,9302.795,NA,12153.324,10125.491,10690.259,8969.875,8188.595,8907.871,9173.462,8519.255,13474.885,NA,NA
,10044.822,9306.362,NA,12159.244,10129.353,10695.363,8973.358,8191.978,8910.976,9177.215,8522.063,13481.51,NA,NA
,10049.182,9310.524,NA,12166.084,10133.385,10700.47,8977.215,8195.099,8914.895,9180.173,8525.543,13488.444,NA,NA
,10053.886,9314.574,NA,12172.374,10137.345,10705.952,8980.722,8198.395,8918.326,9183.596,8528.865,13495.797,NA,NA
,10059.008,9318.141,NA,12178.211,10141.38,10711.011,8984.756,8201.281,8921.989,9187.157,8532.196,13502.439,NA,NA
,10063.912,9321.486,NA,12184.677,10145.953,10716.083,8988.146,8204.29,8925.693,9190.333,8535.555,13509.045,NA,NA
,10068.848,9325.381,NA,12190.766,10149.629,10721.19,8991.561,8207.406,8929.283,9193.885,8538.862,13515.79,NA,NA
,10073.473,9328.638,NA,12196.913,10153.512,10725.76,8994.763,8210.974,8932.671,9197.51,8542.068,13522.782,NA,NA
,10078.703,9332.907,NA,12203.321,10157.666,10730.732,8998.48,8214.162,8936.606,9200.68,8544.895,13529.141,NA,NA
,10084.118,9337.147,NA,12209.598,10162.032,10735.755,9002.308,8217.566,8939.929,9204.455,8548.059,13535.955,NA,NA
,10089.106,9340.586,NA,12215.219,10165.582,10740.719,9005.683,8220.73,8943.282,9207.906,8551.237,13542.357,NA,NA
,10094.179,9344.23,NA,12221.776,10168.838,10745.485,9008.9,8224.178,8946.922,9211.645,8554.186,13549.72,NA,NA
,10098.99,9347.88,NA,12228.188,10172.807,10750.583,9012.215,8227.262,8950.712,9215.491,8557.308,13556.882,NA,NA
,10104.438,9351.673,NA,12234.129,10176.682,10755.952,9015.778,8230.476,8954.3,9219.384,8560.42,13563.738,NA,NA
,10109.214,9355.089,NA,12240.387,10180.906,10760.724,9019.095,8233.542,8957.377,9222.865,8563.387,13570.23,NA,NA
,10114.366,9358.848,NA,12246.679,10185.612,10765.934,9022.61,8236.586,8960.59,9226.711,8566.649,13577.245,NA,NA
,10118.914,9362.793,NA,12253.477,10189.461,10770.792,9026.047,8239.61,8964.007,9230.171,8569.88,13583.791,NA,NA
,10124.186,9366.954,NA,12259.968,10193.347,10776.072,9029.793,8242.592,8967.561,9234.059,8572.861,13590.931,NA,NA
,10129.187,9370.799,NA,12265.838,10197.398,10781.376,9033.808,8246.195,8970.886,9237.18,8576.001,13597.297,NA,NA
,10134.371,9374.854,NA,12272.301,10201.398,10786.556,9037.277,8249.632,8974.417,9240.392,8578.957,13604.148,NA,NA
,10139.691,9379.18,NA,12279.013,10205.407,10791.703,9041.015,8252.9,8977.73,9244.139,8582.215,13610.784,NA,NA
,10144.491,9383.211,NA,12284.869,10209.558,10796.827,9044.773,8256.328,8981.125,9247.787,8585.181,13617.786,NA,NA
,10149.301,9386.685,NA,12291.452,10213.522,10801.676,9048.726,8259.57,8984.492,9251.622,8588.052,13623.919,NA,NA
,10153.787,9390.625,NA,12297.714,10217.52,10806.955,9052.08,8262.622,8987.817,9255.183,8590.993,13630.741,NA,NA
,10159.026,9394.309,NA,12304.218,10221.339,10811.954,9055.562,8265.595,8991.127,9258.429,8593.934,13637.553,NA,NA
,10163.851,9398.356,NA,12310.782,10225.424,10817.081,9058.896,8268.966,8994.282,9262.017,8596.92,13644.449,NA,NA
,10168.725,9402.209,NA,12317.116,10229.541,10821.987,9062.186,8272.426,8997.406,9265.298,8599.657,13651.205,NA,NA
,10173.822,9405.988,NA,12323.234,10233.477,10826.383,9065.201,8275.475,9001.039,9268.849,8602.381,13658.276,NA,NA
,10178.683,9409.684,NA,12329.367,10237.672,10831.338,9069.399,8278.434,9004.664,9272.622,8605.605,13664.472,NA,NA
,10183.285,9413.608,NA,12335.656,10242.055,10836.463,9072.751,8281.768,9007.948,9276.133,8608.512,13670.505,NA,NA
,10188.257,9417.364,NA,12342.042,10246.329,10841.629,9076.724,8285.419,9010.935,9279.502,8612.023,13677.108,NA,NA
,10192.703,9421.18,NA,12348.23,10250.389,10846.275,9080.665,8288.882,9014.139,9283.192,8615.133,13683.897,NA,NA
,10197.617,9424.599,NA,12354.657,10254.576,10851.251,9084.51,8291.665,9018.002,9286.345,8618.382,13690.658,NA,NA
,10202.564,9428.311,NA,12360.942,10258.686,10856.59,9087.968,8295.096,9021.424,9289.768,8621.18,13696.831,NA,NA
,10207.349,9432.377,NA,12366.944,10262.937,10861.776,9091.606,8298.126,9024.456,9293.21,8624.021,13703.511,NA,NA
,10212.441,9436.253,NA,12373.15,10266.828,10866.485,9095.117,8300.889,9027.698,9296.759,8626.819,13709.87,NA,NA
,10217.52,9440.284,NA,12379.388,10270.521,10871.693,9098.606,8304.204,9031.064,9300.242,8629.818,13716.406,NA,NA
,10222.561,9443.691,NA,12385.254,10274.224,10877.176,9102.307,8307.426,9034.705,9303.492,8632.578,13723.177,NA,NA
,10227.058,9447.076,NA,12391.026,10278.073,10881.946,9105.483,8310.45,9037.949,9306.819,8635.269,13729,NA,NA
,10227.319,9447.302,NA,12391.528,10278.413,10882.317,9105.725,8310.851,9038.11,9307.139,8635.577,NA,NA,NA
,10232.223,9451.492,NA,12397.831,10282.434,10886.438,9109.641,8314.103,9041.509,9310.569,8638.986,NA,NA,NA
,10236.968,9455.2,NA,12403.907,10286.78,10891.726,9113.656,8317.329,9044.841,9314.326,8642.354,NA,NA,NA
,10242.126,9458.778,NA,12410.372,10291.072,10896.351,9117.172,8320.31,9048.271,9317.763,8645.078,NA,NA,NA
,10246.832,9462.759,NA,12416.262,10295.042,10901.44,9120.649,8323.135,9051.353,9321.344,8647.902,NA,NA,NA
,10251.791,9466.587,NA,12422.518,10299.248,10906.279,9124.402,8326.643,9054.638,9324.649,8651.236,NA,NA,NA
,10256.995,9470.66,NA,12428.499,10303.108,10911.026,9127.977,8330.461,9057.877,9327.79,8654.302,NA,NA,NA
,10262.059,9474.139,NA,12434.73,10307.548,10916.549,9131.628,8333.547,9061.326,9331.627,8656.914,NA,NA,NA
,10267.165,9477.914,NA,12440.704,10311.376,10921.836,9135.278,8336.547,9064.119,9335.098,8659.918,NA,NA,NA
,10271.887,9482.106,NA,12447.426,10315.789,10926.36,9139.112,8339.274,9067.622,9338.527,8663.431,NA,NA,NA
,10276.772,9485.894,NA,12453.376,10319.945,10931.483,9142.255,8342.63,9071.235,9341.662,8666.348,NA,NA,NA
,10281.573,9489.606,NA,12459.611,10323.714,10935.901,9145.942,8345.836,9074.732,9344.832,8669.63,NA,NA,NA
,10286.536,9493.598,NA,12465.903,10327.827,10941.156,9149.589,8349.493,9078.164,9348.401,8672.767,NA,NA,NA
,10291.432,9497.281,NA,12472.537,10331.697,10946.163,9153.35,8352.622,9081.037,9351.584,8676.089,NA,NA,NA
,10296.44,9501.057,NA,12478.689,10335.865,10951.43,9156.795,8355.705,9084.408,9355.128,8679.006,NA,NA,NA
,10301.242,9505.411,NA,12484.991,10340.23,10956.387,9160.156,8358.594,9088.135,9358.341,8681.901,NA,NA,NA
,10305.998,9509.323,NA,12490.149,10344.232,10961.452,9163.675,8361.871,9091.794,9361.878,8684.966,NA,NA,NA
,10310.97,9513.031,NA,12496.275,10348.083,10966.612,9167.603,8365.076,9095.447,9365.372,8687.71,NA,NA,NA
,10316.147,9517.115,NA,12502.415,10351.931,10972.125,9171.216,8368.176,9098.661,9369.017,8690.842,NA,NA,NA
,10321.119,9521.19,NA,12507.976,10355.602,10977.048,9174.574,8371.51,9101.985,9372.707,8693.56,NA,NA,NA
,10325.989,9524.662,NA,12514.513,10359.565,10981.881,9178.123,8374.267,9105.561,9376.455,8696.562,NA,NA,NA
,10331.203,9528.445,NA,12520.709,10363.702,10986.905,9181.976,8377.668,9109.067,9379.877,8699.756,NA,NA,NA
,10336.284,9531.787,NA,12526.936,10367.731,10991.365,9185.735,8380.779,9112.074,9383.568,8702.713,NA,NA,NA
,10341.51,9535.593,NA,12533.022,10371.74,10996.556,9189.144,8383.982,9115.418,9387.002,8705.671,NA,NA,NA
,10346.656,9539.259,NA,12539.138,10375.263,11001.588,9192.423,8387.189,9118.479,9390.039,8708.62,NA,NA,NA
,10350.973,9543.294,NA,12545.169,10379.184,11006.149,9196.038,8390.58,9121.897,9393.628,8711.83,NA,NA,NA
,10355.841,9547.129,NA,12551.333,10383.473,11011.205,9199.487,8393.955,9125.076,9396.741,8714.931,NA,NA,NA
,10360.536,9551.03,NA,12557.767,10387.945,11015.989,9202.646,8397.252,9128.531,9399.991,8718.082,NA,NA,NA
,10365.443,9554.576,NA,12563.888,10392.054,11020.921,9205.92,8400.329,9131.873,9403.123,8720.635,NA,NA,NA
,10370.14,9558.301,NA,12570.016,10396.104,11025.44,9209.681,8403.306,9135.1,9406.476,8723.92,NA,NA,NA
,10374.74,9561.858,NA,12575.907,10400.074,11030.349,9213.605,8406.804,9138.642,9409.764,8726.623,NA,NA,NA
,10380.028,9565.21,NA,12582.047,10404.251,11035.545,9216.845,8410.013,9141.997,9412.944,8729.77,NA,NA,NA
,10385.078,9568.932,NA,12588.032,10408.086,11040.421,9220.38,8412.79,9145.114,9416.566,8732.941,NA,NA,NA
,10389.877,9572.537,NA,12594.439,10412.305,11045.167,9223.708,8415.919,9148.372,9419.976,8736.023,NA,NA,NA
,10394.939,9576.471,NA,12600.725,10416.393,11050.45,9226.985,8418.69,9151.114,9423.519,8738.844,NA,NA,NA
,10400.038,9579.993,NA,12606.903,10420.244,11055.094,9230.325,8421.534,9154.442,9426.954,8741.801,NA,NA,NA
,10405.367,9583.765,NA,12613.317,10424.596,11060.257,9234.083,8424.39,9158.118,9430.192,8744.96,NA,NA,NA
,10410.638,9587.936,NA,12619.689,10428.195,11065.689,9237.502,8427.72,9161.448,9434.072,8748.163,NA,NA,NA
,10415.798,9591.271,NA,12625.842,10432.099,11070.729,9240.882,8430.884,9165.027,9437.185,8751.177,NA,NA,NA
,10420.262,9595.292,NA,12632.034,10436.164,11075.518,9244.497,8433.803,9168.59,9440.667,8754.279,NA,NA,NA
,10425.349,9599.219,NA,12638.659,10440.282,11080.201,9248.169,8437.014,9171.57,9443.897,8757.12,NA,NA,NA
,10430.234,9603.337,NA,12644.79,10444.894,11084.986,9251.812,8440.164,9174.946,9447.108,8760.137,NA,NA,NA
,10435.273,9606.839,NA,12650.982,10448.484,11089.93,9255.26,8443.163,9178.025,9450.357,8762.755,NA,NA,NA
,10440.503,9610.566,NA,12657.157,10452.791,11095.28,9258.968,8446.232,9181.419,9453.742,8765.627,NA,NA,NA
,10445.609,9614.305,NA,12663.024,10456.68,11100.492,9262.926,8449.29,9185.238,9457.269,8768.641,NA,NA,NA
,10450.8,9618.16,NA,12669.355,10460.552,11105.766,9266.739,8452.756,9188.812,9460.363,8771.77,NA,NA,NA
,10455.511,9621.95,NA,12675.523,10464.267,11110.529,9270.209,8456.05,9191.871,9463.643,8774.717,NA,NA,NA
,10460.861,9625.868,NA,12681.282,10468.218,11115.235,9274.127,8459.3,9195.407,9467.235,8777.714,NA,NA,NA
,10465.433,9629.806,NA,12687.151,10472.539,11120.253,9277.948,8462.181,9198.762,9470.75,8780.491,NA,NA,NA
,10470.332,9633.886,NA,12693.062,10476.429,11125.496,9281.265,8465.24,9202,9474.032,8783.408,NA,NA,NA
,10474.705,9637.708,NA,12699.08,10480.531,11130.316,9284.912,8468.431,9205.209,9477.4,8785.974,NA,NA,NA
,10479.468,9641.473,NA,12705.289,10484.827,11135.472,9288.298,8471.431,9208.763,9480.833,8788.91,NA,NA,NA
,10484.407,9645.186,NA,12711.368,10488.511,11140.161,9292.119,8474.539,9211.846,9483.875,8791.908,NA,NA,NA
,10489.217,9648.445,NA,12717.657,10492.717,11145.323,9295.579,8477.837,9215.295,9487.265,8795.337,NA,NA,NA
,10494.16,9651.846,NA,12723.859,10496.757,11150.343,9299.417,8481.318,9218.654,9490.225,8798.182,NA,NA,NA
,10499.271,9655.33,NA,12729.765,10500.849,11155.288,9303.009,8484.438,9222.237,9494.007,8801.353,NA,NA,NA
,10504.012,9659.12,NA,12735.977,10504.686,11160.241,9307.05,8487.375,9225.465,9497.264,8804.379,NA,NA,NA
,10508.86,9663.352,NA,12741.997,10508.535,11165.246,9310.99,8490.309,9228.845,9500.404,8807.149,NA,NA,NA
,10513.177,9667.554,NA,12748.361,10512.581,11169.958,9314.82,8493.412,9232.076,9503.671,8810.195,NA,NA,NA
,10518.169,9671.472,NA,12754.115,10516.582,11174.756,9318.094,8496.684,9235.539,9507.213,8813.209,NA,NA,NA
,10523.153,9675.439,NA,12760.261,10521.25,11179.231,9321.68,8499.685,9238.786,9510.731,8816.134,NA,NA,NA
,10528.347,9679.463,NA,12766.21,10524.852,11184.517,9325.326,8503.386,9242.263,9514.29,8818.806,NA,NA,NA
,10533.009,9682.903,NA,12772.123,10528.388,11189.989,9328.917,8506.655,9245.744,9517.314,8821.433,NA,NA,NA
,10537.356,9686.606,NA,12778.213,10532.335,11195.521,9332.465,8509.57,9249.125,9520.335,8824.552,NA,NA,NA
,10542.061,9689.899,NA,12784.387,10536.321,11200.4,9335.883,8512.48,9252.529,9524.183,8827.39,NA,NA,NA
,10547.354,9693.724,NA,12790.896,10539.825,11204.828,9339.397,8515.362,9255.982,9527.638,8830.436,NA,NA,NA
,10552.151,9697.514,NA,12796.576,10544.161,11209.865,9342.674,8518.494,9259.271,9531.002,8833.413,NA,NA,NA
,10557.231,9701.409,NA,12802.76,10548.216,11214.525,9346.229,8521.752,9262.562,9534.333,8836.365,NA,NA,NA
,10562.167,9704.83,NA,12809.297,10552.258,11219.821,9349.902,8524.91,9265.841,9537.583,8838.935,NA,NA,NA
,10562.425,9705.186,NA,12809.668,10552.563,11220.094,9350.114,8525.102,9266.098,9537.778,8839.177,NA,NA,NA
,10566.23,9708.891,NA,12815.302,10556.19,11225.06,9353.225,8527.81,9268.731,9540.494,8841.614,NA,NA,NA
,10571.041,9712.736,NA,12821.187,10560.299,11229.899,9356.729,8530.923,9272.106,9543.673,8844.45,NA,NA,NA
,10575.888,9716.312,NA,12827.278,10565.016,11234.761,9360.211,8534.259,9275.409,9547.085,8847.3,NA,NA,NA
,10580.548,9719.942,NA,12833.377,10568.989,11240.065,9363.647,8537.339,9278.291,9550.821,8850.187,NA,NA,NA
,10585.059,9723.667,NA,12839.567,10573.11,11244.838,9366.956,8540.544,9281.587,9554.295,8853.174,NA,NA,NA
,10589.921,9727.033,NA,12845.757,10577.111,11249.673,9370.57,8543.68,9284.58,9557.568,8856.067,NA,NA,NA
,10594.88,9731.295,NA,12852.403,10581.416,11254.314,9373.96,8547.096,9288.09,9560.982,8859.269,NA,NA,NA
,10599.989,9735.036,NA,12858.788,10585.161,11258.774,9377.655,8550.127,9291.333,9564.413,8862.413,NA,NA,NA
,10604.894,9738.654,NA,12864.997,10588.76,11264.104,9381.184,8553.501,9294.978,9567.831,8865.433,NA,NA,NA
,10609.545,9743.167,NA,12870.799,10593.154,11269.143,9384.325,8556.754,9298.498,9571.339,8868.32,NA,NA,NA
,10614.39,9746.822,NA,12876.909,10597.259,11273.952,9387.923,8559.906,9301.467,9574.712,8871.432,NA,NA,NA
,10619.166,9750.454,NA,12883.399,10601.067,11278.682,9391.467,8563.159,9304.564,9578.287,8874.208,NA,NA,NA
,10624.309,9753.766,NA,12889.168,10604.877,11283.725,9394.644,8566.378,9307.765,9582.078,8876.992,NA,NA,NA
,10629.14,9757.494,NA,12895.297,10609.059,11289.12,9397.91,8569.361,9311.233,9585.399,8879.69,NA,NA,NA
,10633.599,9761.379,NA,12901.466,10613.193,11293.984,9401.847,8572.61,9314.705,9588.462,8882.474,NA,NA,NA
,10638.566,9765.295,NA,12907.511,10617.595,11298.933,9405.324,8575.692,9318.273,9591.938,8884.925,NA,NA,NA
,10643.168,9769.181,NA,12913.425,10621.691,11303.792,9408.995,8578.835,9321.468,9595.832,8887.386,NA,NA,NA
,10644.037,9769.97,NA,12914.586,10622.449,11304.683,9409.688,8579.207,9322.1,9596.557,8887.934,NA,NA,NA
,10648.02,9773.05,NA,12919.449,10625.746,11308.73,9412.489,8582.14,9324.615,9599.234,8890.359,NA,NA,NA
,10652.307,9776.902,NA,12926.085,10630.059,11313.504,9416.165,8585.248,9328.117,9602.61,8893.397,NA,NA,NA
,10656.995,9780.504,NA,12932.061,10633.703,11318.654,9419.431,8588.252,9331.327,9605.847,8895.838,NA,NA,NA
,10661.557,9784.389,NA,12938.454,10637.428,11323.322,9422.746,8591.493,9334.797,9609.11,8899.14,NA,NA,NA
,10666.247,9787.94,NA,12944.465,10641.445,11327.699,9426.335,8594.367,9338.249,9612.534,8901.772,NA,NA,NA
,10670.955,9791.711,NA,12950.393,10645.163,11332.47,9429.939,8597.261,9341.822,9615.613,8904.476,NA,NA,NA
,10676.368,9795.19,NA,12956.61,10648.916,11337.563,9433.841,8600.23,9345.025,9618.711,8907.666,NA,NA,NA
,10681.024,9798.842,NA,12962.613,10653.08,11343.223,9437.109,8603.478,9348.44,9621.97,8910.452,NA,NA,NA
,10685.632,9802.736,NA,12969.132,10657.534,11348.392,9440.939,8606.711,9351.613,9625.322,8913.769,NA,NA,NA
,10690.457,9806.791,NA,12975.021,10661.473,11353.275,9444.541,8610.074,9354.658,9628.624,8916.767,NA,NA,NA
,10695.291,9810.38,NA,12981.048,10665.504,11358.118,9448.008,8613.419,9357.726,9632.054,8919.867,NA,NA,NA
,10700.112,9814.049,NA,12987.207,10669.399,11363.169,9451.48,8616.615,9361.16,9635.388,8923.044,NA,NA,NA
,10705.178,9817.482,NA,12993.466,10673.071,11368.087,9455.355,8619.921,9364.989,9638.644,8926.039,NA,NA,NA
,10709.945,9821.197,NA,12999.611,10677.016,11373.132,9459.304,8622.809,9368.344,9641.911,8928.841,NA,NA,NA
,10714.933,9824.645,NA,13006.056,10680.687,11377.652,9463.045,8626.164,9371.629,9645.119,8931.975,NA,NA,NA
,10719.534,9827.948,NA,13011.923,10685.241,11381.998,9466.204,8629.246,9374.859,9648.259,8934.542,NA,NA,NA
,10724.148,9831.429,NA,13017.832,10689.383,11387.24,9470.101,8632.546,9378.277,9651.465,8937.353,NA,NA,NA
,10729.093,9835.299,NA,13023.278,10693.03,11391.947,9473.567,8635.833,9381.307,9654.664,8940.151,NA,NA,NA
,10733.642,9839.184,NA,13029.102,10697.189,11396.787,9477.207,8638.8,9384.485,9657.685,8942.711,NA,NA,NA
,10738.542,9843.231,NA,13035.216,10701.188,11401.658,9480.566,8642.229,9387.454,9661.131,8945.471,NA,NA,NA
