Number_of_sequences,AB-2-1-2,AB-2-13-14,AB-2-14-15,AB-2-16-17,AB-2-17-18,AB-2-18-19,AB-2-2-3,AB-2-3-4,AB-2-4-5,AB-2-0-1,AB-2-10-11,AB-2-12-13,AB-2-5-6,AB-2-6-7,AB-2-7-8,AB-2-8-9,AB-2-9-10
113800,15040.181,13514.244,11855.006,13676.931,13012.267,11752.078,12962.479,14759.717,14724.939,12773.769,14118.788,12001.968,14317.983,14704.382,13781.983,13939.575,14827.763
113900,15049.388,13521.586,11861.558,13683.495,13019.354,11758.351,12969.195,14767.635,14732.246,12780.856,14127.098,12008.225,14325.218,14712.64,13788.644,13946.714,14836.235
114000,15058.564,13528.659,11868.078,13690.813,13026.444,11764.236,12976.498,14776.098,14739.682,12787.754,14134.495,12014.689,14332.514,14720.706,13795.443,13953.948,14844.229
114100,15067.469,13535.973,11874.358,13697.821,13033.731,11770.6,12983.386,14784.398,14747.574,12794.817,14141.579,12020.834,14339.501,14729.12,13802.583,13960.908,14852.731
114200,15076.338,13543.386,11880.556,13704.94,13041.031,11777.12,12990.278,14792.698,14755.571,12802.257,14149.118,12026.685,14347.258,14736.634,13809.614,13967.954,14861.519
114300,15084.957,13550.27,11886.949,13711.977,13047.802,11782.81,12996.689,14799.861,14763.591,12809.605,14156.419,12032.638,14354.61,14744.788,13816.738,13974.567,14869.328
114400,15093.891,13557.74,11893.043,13718.933,13054.87,11788.98,13003.758,14807.854,14771.512,12816.592,14163.681,12039.156,14362.446,14752.702,13823.639,13982.023,14877.633
114500,15102.557,13565.312,11900.013,13725.833,13061.647,11794.857,13010.536,14815.343,14778.865,12823.158,14171.519,12045.492,14369.322,14760.475,13830.349,13989.106,14886.003
114600,15111.46,13571.942,11906.494,13732.476,13068.938,11801.066,13017.069,14823.941,14786.823,12830.175,14179.242,12051.559,14376.662,14768.075,13837.292,13995.896,14894.79
114700,15120.214,13579.009,11913.057,13739.136,13075.771,11806.597,13023.978,14832.01,14794.865,12837.222,14187.513,12058.377,14384.199,14775.927,13844.254,14003.079,14903.299
114800,15129.084,13586.192,11919.829,13746.545,13082.09,11812.843,13030.043,14840.509,14803.058,12844.08,14195.188,12065.022,14391.914,14783.495,13851.681,14009.998,14911.963
114900,15138.382,13593.438,11925.728,13753.688,13088.866,11819.515,13037.077,14848.346,14810.999,12851.067,14202.672,12071.682,14399.842,14791.471,13858.791,14017.086,14920.6
115000,15147.131,13600.247,11932.025,13760.884,13095.541,11825.482,13044.517,14856.515,14818.792,12858.64,14210.485,12078.138,14407.802,14799.027,13865.585,14024.048,14928.284
115100,15155.832,13608.211,11938.205,13767.648,13102.988,11831.457,13051.027,14864.144,14826.363,12865.739,14218.436,12084.651,14415.963,14807.287,13872.378,14031.015,14936.966
115200,15164.228,13615.649,11944.16,13774.492,13110.335,11837.196,13058.056,14872.475,14834.085,12873.003,14225.94,12090.792,14423.698,14815.597,13879.101,14038.054,14945.459
115300,15173.793,13622.857,11950.309,13781.868,13117.261,11843.438,13064.527,14880.898,14842.41,12880.044,14233.34,12097.308,14431.082,14823.802,13886.306,14044.856,14953.344
115400,15182.046,13629.926,11956.524,13789.619,13124.258,11849.115,13071.623,14889.078,14850.013,12886.939,14241.489,12104.217,14438.194,14832.504,13893.294,14051.683,14961.715
115500,15190.629,13637.52,11962.735,13796.311,13131.477,11855.05,13078.22,14897.907,14857.148,12893.972,14249.73,12110.775,14445.214,14840.375,13900.218,14058.964,14970.959
115600,15198.965,13645.362,11969.257,13803.284,13138.559,11860.879,13084.59,14905.469,14864.77,12901.191,14257.294,12116.88,14452.275,14848.328,13907.569,14066.116,14979.573
115700,15207.486,13652.749,11975.714,13810.698,13145.639,11866.88,13091.172,14914.222,14872.102,12909.025,14265.385,12123.566,14459.536,14856.251,13914.897,14073.555,14987.754
115800,15216.213,13659.952,11982.208,13817.198,13152.113,11872.713,13098.174,14922.313,14879.87,12916.283,14273.532,12129.535,14467.035,14864.026,13921.192,14080.264,14996.528
115900,15225.395,13667.328,11988.559,13823.952,13159.23,11878.851,13104.791,14930.051,14887.283,12923.942,14281.68,12135.913,14475.316,14872.124,13928.153,14087.667,15004.888
116000,15233.533,13675.223,11995.121,13830.626,13165.817,11884.806,13111.52,14938.496,14895.169,12930.708,14288.811,12142.626,14482.44,14879.42,13935.21,14094.679,15012.897
116100,15242.484,13682.976,12001.891,13837.45,13173.196,11890.489,13118.6,14946.136,14902.496,12937.462,14296.753,12149.262,14490.118,14887.223,13942.305,14101.722,15021.088
116200,15251.217,13690.314,12008.131,13844.075,13180.174,11896.523,13125.158,14954.288,14909.812,12944.67,14304.117,12155.313,14497.497,14894.874,13949.286,14109.112,15029.618
116300,15260.483,13697.719,12014.129,13851.504,13187.521,11903.004,13131.884,14962.314,14917.555,12951.505,14311.615,12161.771,14504.899,14902.836,13956.134,14116.51,15037.506
116400,15269.198,13705.085,12020.625,13858.434,13194.793,11909.074,13138.533,14970.601,14924.828,12958.813,14319.244,12167.947,14512.416,14910.065,13963.073,14124.433,15046.1
116500,15278.269,13712.347,12026.509,13865.526,13202.306,11914.967,13145.004,14979.026,14932.377,12965.683,14326.413,12174.136,14519.66,14918.078,13970.561,14131.289,15054.306
116600,15286.432,13719.733,12032.623,13872.245,13209.536,11920.844,13152.092,14987.457,14939.991,12973.231,14333.34,12180.807,14526.681,14926.5,13977.573,14138.209,15062.362
116700,15295.103,13726.996,12038.928,13879.375,13216.839,11926.642,13159.347,14996.023,14947.668,12980.514,14341.275,12187.089,14534.502,14934.518,13984.819,14145.416,15070.951
116800,15303.736,13733.937,12044.942,13886.38,13223.813,11932.691,13165.958,15003.943,14955.646,12987.749,14348.842,12192.96,14542.248,14942.369,13991.53,14152.587,15079.015
116900,15313.038,13741.141,12051.086,13893.638,13230.988,11938.743,13173.054,15011.846,14963.666,12995.246,14356.723,12199.004,14550.293,14950.223,13998.42,14159.587,15087.274
117000,15322.573,13748.469,12057.583,13900.7,13237.6,11944.541,13180.068,15019.882,14970.971,13002.243,14364.405,12205.515,14558.137,14957.583,14005.24,14166.504,15096.333
117100,15331.342,13755.394,12064.128,13907.372,13243.897,11950.198,13186.838,15028.12,14979.328,13009.096,14371.894,12211.885,14566.069,14964.843,14012.309,14173.53,15105.363
117200,15340.098,13763.01,12070.308,13913.982,13251.146,11956.544,13193.4,15036.423,14986.765,13015.542,14379.054,12218.079,14573.903,14972.777,14019.098,14180.374,15114.147
117300,15348.192,13770,12076.684,13920.935,13258.61,11962.243,13200.09,15044.464,14994.462,13022.023,14386.906,12224.669,14580.81,14980.757,14025.339,14187.209,15122.18
117400,15357.43,13777.336,12083.28,13928.126,13265.644,11968.414,13206.832,15052.755,15002.602,13028.957,14395.575,12230.514,14587.659,14988.496,14032.052,14194.084,15130.377
117500,15365.83,13784.367,12089.864,13935.457,13272.666,11974.613,13213.79,15061.487,15009.956,13035.949,14403.13,12236.808,14595.561,14996.49,14039.087,14200.653,15138.842
117600,15374.594,13792.253,12096.192,13942.37,13279.248,11980.919,13220.295,15069.166,15017.621,13042.796,14410.171,12243.111,14603.347,15003.985,14045.654,14208.067,15147.406
117700,15382.927,13799.059,12102.535,13949.956,13285.762,11986.885,13227.367,15077.333,15025.266,13050.336,14417.97,12249.634,14610.742,15011.33,14052.34,14215.122,15155.22
117800,15391.997,13806.068,12108.777,13957.288,13292.065,11992.742,13233.756,15085.888,15033.623,13057.396,14426.062,12255.686,14617.983,15018.47,14058.94,14222.29,15163.984
117900,15400.837,13813.344,12114.839,13963.831,13298.655,11999.127,13240.876,15094.222,15041.52,13064.398,14433.891,12262.264,14625.717,15026.835,14066.06,14229.129,15172.789
118000,15409.627,13820.265,12121.258,13970.467,13305.507,12005.345,13247.665,15102.218,15048.934,13071.471,14441.729,12268.505,14633.044,15034.628,14073.051,14236.437,15181.101
118100,15418.154,13827.323,12127.76,13977.002,13312.999,12011.615,13254.506,15109.878,15056.546,13078.541,14449.093,12274.457,14640.182,15042.033,14079.826,14243.234,15189.182
118200,15427.17,13834.004,12133.948,13983.345,13320.273,12017.182,13260.96,15117.782,15064.156,13085.314,14456.752,12281.115,14647.639,15050.148,14086.911,14250.554,15197.617
118300,15436.029,13841.208,12140.551,13990.541,13327.138,12023.146,13267.582,15125.842,15072.369,13091.571,14464.688,12287.549,14654.951,15058.046,14094.229,14257.486,15206.503
118400,15444.047,13848.012,12147.028,13997.692,13333.626,12028.997,13274.122,15133.685,15079.981,13098.594,14472.404,12293.777,14662.259,15066.41,14101.374,14264.764,15215.411
118500,15453.63,13855.826,12153.197,14004.523,13340.704,12034.809,13280.836,15142.237,15087.996,13105.445,14480.19,12299.791,14669.304,15074.407,14108.49,14271.646,15223.143
118600,15461.999,13863.585,12159.596,14011.384,13347.876,12040.86,13288.148,15149.613,15095.59,13112.034,14488.453,12305.852,14677.181,15081.487,14115.564,14279.031,15231.376
118700,15470.316,13870.452,12165.849,14018.778,13355.132,12046.612,13294.747,15157.911,15103.193,13119.225,14495.702,12311.836,14684.463,15089.319,14122.411,14286.352,15239.274
118800,15478.996,13877.696,12172.215,14025.921,13362.504,12052.284,13301.468,15165.946,15110.759,13126.503,14502.414,12317.933,14691.579,15097.128,14129.532,14294.148,15247.439
118896,15486.895,13884.382,12178.57,14032.514,13369.082,12057.767,13307.913,15173.85,15118.287,13133.202,14509.622,12323.738,14698.97,15104.991,14136.241,14300.98,15255.213
118900,15487.298,13884.671,12178.877,14032.882,13369.372,12057.961,13308.09,15174.171,15118.514,13133.669,14509.816,12323.964,14699.243,15105.251,14136.529,14301.401,15255.537
119000,15495.661,13891.513,12185.145,14039.687,13376.168,12063.853,13315.318,15181.926,15126.408,13140.697,14517.07,12330.134,14706.961,15112.716,14143.569,14308.387,15264.165
119100,15504.432,13898.875,12191.522,14046.762,13383.247,12069.452,13322.229,15189.557,15134.886,13147.447,14524.516,12335.928,14714.178,15120.841,14149.825,14315.47,15271.91
119200,15512.429,13906.199,12197.732,14053.964,13390.014,12075.443,13328.558,15197.198,15142.164,13154.689,14531.951,12342.402,14721.751,15128.74,14156.498,14322.898,15280.014
119284,15519.623,13912.55,12203.249,14059.738,13395.288,12080.491,13334.901,15203.91,15149.06,13161.014,14538.248,12347.952,14727.692,15135.139,14162.052,14329.082,15287.168
119300,15521.044,13913.729,12204.265,14060.652,13396.546,12081.717,13336.094,15205.345,15150.479,13162.223,14539.374,12349.158,14728.809,15136.187,14163.211,14329.987,15288.508
119400,15529.224,13920.858,12210.217,14067.265,13403.818,12087.604,13343.093,15213.13,15158.025,13169.121,14547.058,12354.863,14736.366,15144.362,14170.379,14337.188,15296.578
119500,15537.578,13928.054,12216.563,14073.628,13410.683,12093.892,13349.86,15221.538,15165.669,13176.102,14554.772,12361.551,14743.735,15152.207,14177.173,14344.628,15304.851
119600,15546.166,13935.51,12222.728,14080.643,13418.002,12098.952,13356.85,15228.978,15173.163,13182.85,14562.724,12367.654,14751.183,15160.19,14184.071,14352.046,15312.851
119700,15554.798,13942.756,12228.665,14087.545,13424.704,12104.761,13363.303,15237.085,15180.469,13190.132,14570.52,12373.662,14758.37,15168.022,14191.173,14358.869,15320.634
119800,15563.548,13949.709,12234.998,14094.433,13431.687,12110.818,13369.761,15245.47,15188.061,13197.574,14578.178,12380.251,14766.064,15175.292,14197.995,14365.301,15329.38
119900,15571.867,13957.176,12241.1,14101.133,13438.981,12117.492,13376.344,15252.758,15195.798,13205.008,14585.763,12386.3,14774.175,15182.341,14205.206,14372.476,15337.969
120000,15580.276,13964.723,12247.471,14107.923,13445.469,12123.492,13382.655,15261.127,15203.118,13211.662,14593.354,12392.373,14781.628,15189.802,14211.743,14379.42,15345.88
120100,15588.586,13971.457,12253.898,14114.766,13452.405,12129.203,13389.234,15268.685,15210.346,13218.536,14600.991,12398.765,14788.559,15197.267,14218.388,14386.395,15353.502
120200,15597.92,13978.298,12260.59,14121.059,13458.959,12135.247,13395.403,15277.027,15217.418,13225.865,14608.495,12405.387,14796.209,15204.445,14224.985,14393.619,15362.257
120300,15605.939,13985.459,12266.435,14128.184,13466.168,12141.389,13401.922,15284.157,15225.107,13232.521,14616.198,12411.502,14803.772,15211.88,14231.713,14400.719,15370.598
120400,15614.822,13992.249,12272.67,14134.777,13473.047,12147.331,13408.857,15292.417,15232.769,13239.292,14624.197,12417.223,14811.443,15218.765,14238.837,14407.541,15378.381
120500,15623.666,13999.553,12279.146,14141.527,13480.151,12153.324,13415.645,15300.262,15239.848,13245.453,14631.745,12423.511,14818.719,15226.304,14245.333,14414.555,15386.226
120600,15631.907,14006.547,12284.884,14148.524,13487.005,12159.043,13422.468,15308.503,15247.211,13252.689,14638.82,12429.756,14826.16,15234.053,14252.167,14421.636,15394.336
120700,15640.441,14013.789,12291.47,14155.755,13494.079,12165.183,13429.064,15315.925,15254.774,13259.099,14645.58,12435.985,14833.702,15241.508,14258.775,14428.677,15402.434
120800,15648.861,14020.386,12297.212,14162.403,13500.869,12171.431,13435.88,15324.147,15262.16,13266.202,14653.14,12441.832,14841.306,15249.171,14265.896,14435.881,15411.001
120900,15657.123,14027.049,12303.586,14169.228,13507.418,12177.414,13442.247,15332.816,15269.448,13273.139,14660.883,12448.411,14848.279,15256.215,14273.12,14442.868,15419.648
121000,15665.663,14034.299,12308.817,14175.848,13514.698,12183.755,13449.011,15340.557,15276.716,13280.348,14668.789,12454.315,14855.604,15264.361,14280.024,14449.867,15428.38
121100,15674.385,14041.424,12315.151,14182.794,13521.862,12189.432,13455.781,15348.274,15283.99,13287.543,14676.479,12460.747,14862.86,15271.759,14286.547,14456.877,15437.004
121200,15682.821,14048.269,12320.767,14189.453,13528.15,12195.743,13462.416,15355.914,15291.662,13294.755,14684.365,12467.339,14871.052,15279.247,14292.633,14463.494,15444.975
121300,15691.696,14055.237,12326.224,14196.453,13535.168,12201.968,13468.776,15364.04,15298.68,13301.595,14692.108,12474.112,14878.421,15286.849,14299,14470.495,15453.087
121400,15700.319,14062.703,12332.417,14203.677,13541.465,12207.91,13476.059,15372.212,15305.885,13308.251,14699.383,12479.869,14885.812,15294.142,14305.842,14477.459,15461.651
121500,15708.898,14069.966,12338.145,14210.982,13548.549,12213.848,13483.052,15380.167,15313.016,13315.114,14706.866,12485.594,14893.623,15301.361,14312.744,14484.306,15469.903
121600,15717.489,14077.264,12344.317,14218.104,13555.587,12219.89,13489.902,15387.415,15320.579,13322.337,14714.573,12492.14,14901.04,15309.315,14319.815,14490.879,15478.148
121700,15726.429,14084.499,12350.465,14224.987,13562.124,12225.925,13496.411,15395.461,15327.563,13328.739,14721.968,12498.793,14908.429,15316.679,14326.139,14497.806,15486.351
121800,15735.513,14091.423,12356.624,14231.584,13569.49,12231.888,13503.211,15402.963,15335.785,13335.796,14729.483,12505.665,14916.058,15324.246,14333.068,14504.551,15494.776
121900,15744.618,14097.979,12362.601,14238.633,13576.298,12238.183,13509.681,15410.829,15343.033,13342.894,14737.235,12512.041,14923.606,15331.939,14339.797,14511.349,15503.048
122000,15753.2,14104.773,12368.192,14245.677,13583.109,12244.311,13516.794,15418.181,15350.594,13349.476,14744.679,12518.919,14931.121,15339.574,14346.39,14518.645,15511.368
122100,15761.988,14111.684,12374.463,14252.629,13589.653,12250.059,13523.224,15426.284,15357.823,13356.244,14752.118,12524.639,14937.98,15347.365,14352.857,14525.995,15519.867
122200,15770.884,14118.314,12381.037,14259.221,13596.009,12256.096,13530.006,15434.336,15365.011,13363.399,14759.367,12531.112,14945.327,15354.72,14359.303,14532.369,15527.918
122300,15779.503,14125.318,12387.03,14266.264,13603.329,12262.509,13536.825,15442.164,15372.639,13369.907,14766.668,12537.718,14953.18,15361.798,14365.728,14539.291,15536.128
122400,15787.776,14131.913,12393.013,14272.985,13610.373,12268.11,13544.161,15449.952,15380.153,13376.828,14774.202,12543.778,14960.226,15369.272,14372.241,14545.954,15543.946
122500,15796.452,14138.64,12399.044,14278.95,13616.586,12273.627,13550.786,15457.905,15387.547,13383.553,14782.091,12549.896,14967.374,15376.77,14379.1,14553.318,15552.233
122600,15805.033,14145.068,12405.411,14285.406,13623.424,12279.359,13557.301,15465.389,15394.914,13390.723,14788.99,12556.178,14975.412,15384.729,14385.798,14559.806,15560.624
122700,15813.515,14152.108,12411.741,14292.689,13629.974,12285.12,13563.334,15472.935,15402.569,13397.571,14796.517,12562.305,14982.309,15392.328,14392.271,14566.635,15569.297
122800,15821.62,14158.751,12417.038,14299.484,13637.003,12291.411,13569.57,15481.058,15409.372,13403.997,14804.018,12568.189,14989.378,15399.745,14398.792,14573.369,15577.591
122900,15830.214,14165.959,12422.817,14306.234,13644.478,12297.323,13576.278,15489.336,15417.068,13410.828,14811.881,12574.309,14996.786,15407.515,14405.292,14580.733,15586.06
123000,15838.863,14173.068,12429.017,14313.5,13651.284,12302.981,13582.13,15497.427,15424.189,13417.901,14819.604,12580.324,15004.616,15415.46,14411.946,14587.509,15594.705
123100,15847.713,14180.288,12435.765,14320.484,13657.758,12308.302,13588.769,15505.436,15432.036,13425.41,14826.835,12586.863,15011.664,15422.721,14418.531,14593.443,15602.418
123200,15857.02,14187.777,12442.475,14327.049,13665.121,12314.398,13595.666,15513.158,15439.987,13432.581,14834.461,12593.049,15018.417,15430.5,14424.92,14600.473,15610.507
123300,15865.384,14194.502,12448.945,14333.148,13672.072,12320.199,13602.276,15521.024,15447.072,13439.864,14842.217,12598.722,15025.821,15438.042,14432.415,14607.85,15618.655
123400,15874.564,14201.421,12454.747,14340.111,13678.148,12326.157,13608.803,15529.067,15455.146,13446.738,14849.078,12604.924,15033.549,15445.932,14438.985,14614.554,15626.885
123500,15883.545,14208.591,12461.459,14346.923,13684.44,12331.551,13615.163,15536.767,15462.752,13453.699,14856.405,12610.845,15040.966,15453.819,14445.399,14621.101,15634.909
123600,15891.687,14215.852,12467.392,14353.995,13691.576,12338.147,13622.198,15544.709,15469.888,13460.96,14863.612,12617.051,15048.748,15461.831,14451.848,14628.537,15643.403
123700,15899.792,14222.503,12474.019,14360.443,13698.189,12344.126,13628.868,15552.682,15477.254,13467.644,14870.974,12623.497,15056.258,15469.802,14458.703,14634.95,15651.944
123800,15907.892,14229.544,12480.058,14366.839,13704.352,12349.256,13636.049,15560.444,15484.789,13474.828,14878.562,12629.925,15063.538,15477.984,14465.218,14642.179,15660.188
123900,15916.216,14236.558,12485.968,14373.469,13711.219,12355.025,13643.112,15568.567,15492.802,13481.621,14885.59,12635.811,15071.06,15485.593,14471.877,14649.17,15667.917
124000,15924.743,14243.204,12492.527,14379.617,13718.436,12361.003,13649.048,15576.31,15500.118,13488.761,14893.473,12642.138,15078.232,15492.584,14478.259,14656.048,15676.077
124100,15932.741,14250.353,12498.966,14386.231,13725.48,12366.547,13656.022,15583.433,15507.866,13496.212,14900.889,12648.787,15085.683,15500.26,14484.767,14662.165,15684.31
124200,15942.131,14257.774,12505.138,14393.145,13732.214,12372.405,13662.481,15591.222,15515.11,13502.496,14908.375,12655.025,15093.198,15508.166,14491.235,14669.262,15692.326
124300,15950.584,14264.661,12511.536,14399.452,13739.751,12378.489,13669.358,15599.357,15522.614,13509.572,14915.681,12660.915,15100.451,15515.806,14497.569,14675.271,15700.902
124400,15958.726,14271.583,12517.329,14405.965,13746.752,12384.301,13675.718,15606.922,15530.253,13516.748,14923.498,12666.856,15108.088,15523.116,14504.23,14682.469,15708.789
124500,15967.982,14278.572,12523.135,14412.615,13753.218,12390.247,13682.018,15614.85,15537.633,13523.796,14931.473,12672.569,15114.985,15530.862,14511.433,14688.747,15716.741
124600,15976.61,14285.328,12530.294,14419.04,13759.726,12395.591,13688.635,15622.192,15544.775,13530.471,14938.876,12678.733,15122.25,15538.698,14518.249,14695.798,15725.083
124700,15984.965,14292.755,12535.764,14426,13766.591,12401.354,13695.089,15630.296,15552.606,13536.865,14946.738,12684.514,15129.187,15546.564,14525.033,14702.851,15734.129
124800,15993.69,14299.582,12541.866,14432.653,13773.074,12407.19,13701.824,15637.671,15560.011,13543.376,14954.637,12690.969,15136.686,15553.98,14531.664,14709.422,15742.019
124900,16001.861,14307.176,12548.259,14439.532,13779.88,12412.887,13708.458,15645.5,15566.954,13550.072,14962.134,12696.772,15144.231,15561.347,14538.294,14716.665,15749.811
125000,16010.124,14314.237,12553.975,14446.445,13786.298,12418.591,13714.994,15653.086,15574.46,13556.965,14969.97,12703.205,15151.696,15568.999,14544.669,14723.136,15757.739
125100,16018.954,14321.448,12560.101,14453.278,13792.944,12424.524,13721.518,15661.062,15581.913,13563.237,14977.158,12709.104,15158.955,15576.82,14551.235,14729.422,15765.777
125200,16027.151,14328.566,12566.001,14460.147,13799.763,12430.84,13727.896,15669.183,15589.774,13569.032,14984.158,12715.052,15165.751,15584.122,14557.77,14735.777,15774.16
125300,16035.384,14335.794,12571.865,14466.72,13807.178,12436.222,13734.113,15677.664,15596.614,13575.866,14991.572,12721.047,15172.499,15591.189,14564.12,14742.874,15782.887
125400,16044.013,14342.682,12577.833,14472.99,13813.664,12442.086,13740.498,15685.426,15603.684,13582.282,14999.052,12727.428,15180.04,15598.978,14571.136,14749.348,15790.092
125500,16051.92,14349.568,12583.175,14479.751,13820.759,12447.435,13746.873,15693.713,15611.01,13588.951,15006.175,12733.644,15186.296,15606.808,14577.559,14756.401,15798.492
125600,16060.088,14356.305,12589.016,14487.003,13827.65,12452.653,13753.693,15702.089,15618.557,13596.377,15013.721,12739.548,15193.422,15614.014,14584.921,14763.784,15806.902
125700,16068.268,14363.344,12594.932,14493.777,13834.118,12458.751,13760.342,15709.663,15625.96,13603.403,15020.66,12745.807,15200.849,15622.304,14591.939,14770.394,15815.114
125800,16076.794,14370.074,12601.129,14500.475,13840.921,12464.863,13767.085,15717.344,15633.751,13610.006,15028.283,12752.766,15208.151,15629.407,14598.705,14777.412,15823.401
125900,16084.886,14377.363,12606.703,14506.737,13848.036,12470.245,13773.316,15725.083,15640.755,13616.572,15036.06,12759.084,15215.359,15636.795,14604.78,14784.351,15831.715
126000,16093.77,14383.827,12612.199,14513.738,13855.099,12476.252,13779.216,15733.568,15648.204,13622.906,15043.867,12765.198,15222.808,15644.264,14611.239,14791.023,15840.281
126100,16102.854,14390.678,12617.838,14520.422,13861.754,12481.802,13785.89,15741.221,15655.551,13629.47,15051.359,12771.631,15230.284,15651.931,14618.314,14797.564,15848.327
126200,16111.901,14397.543,12623.616,14526.823,13868.638,12487.241,13792.271,15749.653,15663.153,13636.396,15058.438,12777.135,15237.923,15658.945,14624.845,14803.949,15856.229
126300,16120.892,14404.512,12628.94,14532.905,13875.174,12492.947,13799.015,15757.26,15669.958,13643.369,15065.015,12783.743,15245.868,15666.196,14631.5,14811.069,15864.185
126400,16128.512,14411.511,12634.763,14539.326,13882.294,12498.739,13805.307,15765.339,15677.102,13649.929,15072.104,12790.246,15253.225,15673.407,14638.175,14818.046,15872.917
126500,16136.947,14418.723,12640.542,14545.601,13889.171,12504.141,13811.966,15772.88,15684.71,13656.586,15079.389,12796.188,15261.021,15680.525,14645.058,14825.126,15880.894
126600,16145.977,14425.978,12646.779,14552.581,13895.949,12509.809,13818.753,15780.639,15692.503,13663.876,15086.981,12802.291,15267.877,15687.928,14651.259,14831.892,15889.113
126700,16154.429,14432.951,12652.744,14559.636,13902.597,12515.363,13825.156,15788.516,15700.052,13670.343,15094.847,12808.58,15274.47,15694.695,14658.111,14837.922,15897.117
126800,16162.079,14439.729,12658.901,14565.899,13909.216,12521.36,13831.54,15796.434,15706.67,13676.875,15102.133,12814.266,15281.306,15702.13,14664.66,14844.56,15904.498
126900,16171.03,14446.331,12665.157,14572.746,13916.143,12526.833,13837.934,15803.883,15714.119,13683.675,15109.336,12820.693,15288.803,15709.627,14671.48,14850.636,15912.742
127000,16179.222,14453.423,12671.081,14579.137,13923.359,12532.659,13844.844,15811.821,15721.282,13690.401,15116.503,12826.757,15295.754,15717.048,14678.218,14857.231,15921.081
127100,16188.103,14460.516,12677.319,14586.424,13929.624,12538.107,13851.147,15819.704,15728.726,13697.088,15123.73,12832.388,15302.537,15724.472,14684.42,14863.65,15929.16
127200,16196.407,14467.453,12683.055,14592.628,13936.328,12544.202,13857.278,15827.798,15736.483,13703.729,15131.368,12838.422,15309.866,15731.839,14690.96,14870.563,15936.729
127300,16204.386,14474.495,12688.561,14599.202,13942.665,12550.264,13863.275,15835.317,15744.003,13709.799,15138.551,12844.241,15317.079,15739.217,14697.528,14877.203,15944.838
127400,16212.53,14481.654,12694.494,14604.948,13949.259,12556.145,13869.787,15843.137,15750.966,13716.94,15145.871,12850.273,15323.993,15746.875,14704.63,14883.587,15952.961
127500,16220.87,14488.878,12700.338,14611.763,13956.336,12561.732,13876.93,15850.891,15758.646,13723.746,15152.645,12856.41,15331.31,15754.111,14711.36,14890.379,15961.616
127600,16228.764,14496.044,12706.723,14618.508,13963.349,12567.189,13883.323,15859.316,15766.444,13730.62,15159.829,12862.67,15338.508,15761.611,14718.056,14897.107,15969.576
127700,16237.268,14503.048,12712.344,14625.254,13970.318,12572.605,13889.638,15867.253,15774.014,13737.625,15167.398,12869.6,15345.595,15768.912,14724.223,14904.121,15977.979
127800,16245.269,14510.193,12718.762,14631.401,13976.641,12578.411,13896.153,15875.501,15782.44,13744.094,15174.427,12875.467,15352.805,15776.247,14730.483,14910.455,15986.022
127900,16253.412,14517.197,12724.764,14637.396,13983.477,12584.079,13902.583,15883.213,15789.633,13751.335,15181.789,12881.272,15359.994,15783.835,14736.985,14916.969,15994.531
128000,16261.873,14524.731,12730.45,14644.467,13990.827,12590.043,13908.942,15890.765,15797.365,13758.271,15188.95,12887.518,15367.565,15791.796,14743.706,14923.609,16002.615
128100,16269.691,14531.664,12736.457,14650.972,13997.513,12596.44,13915.504,15899.101,15805.038,13765.193,15196.485,12893.188,15375.075,15798.59,14750.803,14930.917,16011.153
128200,16278.285,14538.077,12741.742,14657.36,14004.426,12601.74,13921.686,15906.593,15812.714,13772.401,15203.923,12899.719,15381.963,15805.349,14757.342,14937.832,16019.266
128300,16287.353,14545.553,12747.853,14663.778,14010.853,12607.397,13927.714,15914.141,15820.353,13779.565,15211.087,12905.682,15389,15812.724,14763.815,14945.086,16027.789
128400,16295.015,14552.565,12753.84,14670.27,14017.893,12613.503,13934.177,15921.833,15827.536,13785.738,15217.978,12911.431,15395.976,15819.662,14770.402,14952.222,16035.728
128500,16303.145,14559.423,12759.99,14676.495,14024.908,12618.92,13940.312,15930.032,15834.561,13792.375,15225.024,12917.026,15403.224,15827.263,14776.637,14959.333,16044
128600,16311.265,14566.369,12766.262,14683.398,14032.216,12624.444,13946.57,15937.933,15842.049,13799.402,15232.602,12922.84,15410.072,15834.788,14782.907,14966.154,16052.105
128700,16319.702,14573.237,12772.395,14689.771,14039.231,12630.19,13953.141,15945.238,15848.622,13806.384,15240.049,12928.977,15417.165,15842.504,14790.161,14973.352,16059.852
128800,16328.108,14580.412,12778.222,14696.414,14045.69,12635.962,13959.648,15952.882,15855.627,13813.556,15247.175,12935.124,15423.9,15849.939,14796.756,14980.273,16068.039
128900,16336.641,14587.786,12784.54,14702.716,14051.837,12641.197,13966.245,15960.672,15862.997,13820.078,15254.277,12940.898,15431.122,15857.045,14803.035,14987.234,16076.213
129000,16345.001,14594.642,12790.603,14709.815,14059.005,12647.343,13972.853,15969.01,15870.156,13827.184,15261.489,12947.265,15438.088,15863.532,14809.587,14993.86,16083.727
129100,16353.027,14601.72,12796.671,14716.25,14065.145,12652.483,13980.006,15976.209,15877.41,13833.987,15268.692,12953.435,15445.05,15870.779,14815.865,15000.377,16091.254
129200,16360.939,14608.239,12802.668,14722.954,14071.496,12658.087,13986.408,15984.016,15884.659,13840.454,15276.061,12959.682,15452.65,15878.021,14822.205,15007.113,16099.254
