Genus,depth,Percent_Abundance,guild
Geobacter_AC2,4.5,0.050907857,3
Geothermobacter_AC1,4.5,NA,3
Geothermobacter_AC2,4.5,0.033938571,3
Geopsychrobacter_AC1,4.5,NA,3
Geopsychrobacter_AC2,4.5,0.016969286,3
Sva1033_unclassified_AC1,4.5,NA,2
Sva1033_unclassified_AC2,4.5,0.967249279,2
Desulfuromusa_AC1,4.5,NA,3
Desulfuromusa_AC2,4.5,0.067877142,3
SEEP-SRB1_AC1,4.5,NA,1
SEEP-SRB1_AC2,4.5,0.050907857,1
Desulfobacula_AC1,4.5,NA,1
Desulfobacula_AC2,4.5,0.169692856,1
Desulfosarcina_AC1,4.5,NA,1
Desulfosarcina_AC2,4.5,0.016969286,1
Gallionella_AC1,4.5,NA,5
Gallionella_AC2,4.5,0.050907857,5
Fe/SO42-,5.5,3.996905137,-9
SRB,5.5,0.721780526,-10
FeRB,5.5,0.932751208,-8
SOB,5.5,0.869104366,-7
FeOB,5.5,0.136010889,-6
Desulfobulbus_AC1,5.5,0.483697599,2
Desulfobulbus_AC2,5.5,1.739874501,2
Desulfococcus_AC1,5.5,0.035829452,1
Desulfococcus_AC2,5.5,0.028522533,1
Sva0081_sediment_group_AC1,5.5,0.125403081,1
Sva0081_sediment_group_AC2,5.5,0.171135197,1
Arcobacter_AC1,5.5,0.071658904,4
Arcobacter_AC2,5.5,0.028522533,4
Cocleimonas_AC1,5.5,0.053744178,4
Cocleimonas_AC2,5.5,0.028522533,4
Thiobacillus_AC1,5.5,0.232891437,4
Thiobacillus_AC2,5.5,0.028522533,4
Sulfurimonas_AC1,5.5,0.161232533,4
Sulfurimonas_AC2,5.5,0.171135197,4
Sulfurovum_AC1,5.5,0.035829452,4
Sulfurovum_AC2,5.5,0.057045066,4
Mariprofundus_AC1,5.5,0.08957363,5
Mariprofundus_AC2,5.5,0,5
Deferrisoma_AC1,5.5,0.214976711,3
Deferrisoma_AC2,5.5,0.19965773,3
Geobacter_AC1,5.5,0.071658904,3
Geobacter_AC2,5.5,0.142612664,3
Geothermobacter_AC1,5.5,0.035829452,3
Geothermobacter_AC2,5.5,0.057045066,3
Geopsychrobacter_AC1,5.5,0.035829452,3
Geopsychrobacter_AC2,5.5,0.057045066,3
Sva1033_unclassified_AC1,5.5,1.003224651,2
Sva1033_unclassified_AC2,5.5,0.770108386,2
Desulfuromusa_AC1,5.5,0.08957363,3
Desulfuromusa_AC2,5.5,0.028522533,3
SEEP-SRB1_AC1,5.5,0.035829452,1
SEEP-SRB1_AC2,5.5,0.057045066,1
Desulfobacula_AC1,5.5,0.107488355,1
Desulfobacula_AC2,5.5,0.142612664,1
Desulfosarcina_AC1,5.5,0.017914726,1
Desulfosarcina_AC2,5.5,0,1
Gallionella_AC1,5.5,0.017914726,5
Gallionella_AC2,5.5,0.028522533,5
Fe/SO42-,6.5,2.865526265,-9
SRB,6.5,0.736755853,-10
FeRB,6.5,1.08738883,-8
SOB,6.5,1.204047718,-7
FeOB,6.5,0.233645934,-6
Desulfobulbus_AC1,6.5,0.685654008,2
Desulfobulbus_AC2,6.5,0.44330378,2
Desulfococcus_AC1,6.5,0.070323488,1
Desulfococcus_AC2,6.5,0.046663556,1
Sva0081_sediment_group_AC1,6.5,0.08790436,1
Sva0081_sediment_group_AC2,6.5,0.093327112,1
Arcobacter_AC1,6.5,0.08790436,4
Arcobacter_AC2,6.5,0.116658889,4
Cocleimonas_AC1,6.5,0.070323488,4
Cocleimonas_AC2,6.5,0.163322445,4
Thiobacillus_AC1,6.5,0.210970464,4
Thiobacillus_AC2,6.5,0.139990667,4
Sulfurimonas_AC1,6.5,0.105485232,4
Sulfurimonas_AC2,6.5,0.186654223,4
Sulfurovum_AC1,6.5,0.052742616,4
Sulfurovum_AC2,6.5,0.069995334,4
Mariprofundus_AC1,6.5,0.052742616,5
Mariprofundus_AC2,6.5,0.093327112,5
Deferrisoma_AC1,6.5,0.281293952,3
Deferrisoma_AC2,6.5,0.233317779,3
Geobacter_AC1,6.5,0.08790436,3
Geobacter_AC2,6.5,0.116658889,3
Geothermobacter_AC1,6.5,0.035161744,3
Geothermobacter_AC2,6.5,0.046663556,3
Geopsychrobacter_AC1,6.5,0.052742616,3
Geopsychrobacter_AC2,6.5,0.069995334,3
Sva1033_unclassified_AC1,6.5,0.896624473,2
Sva1033_unclassified_AC2,6.5,0.839944004,2
Desulfuromusa_AC1,6.5,0.070323488,3
Desulfuromusa_AC2,6.5,0.093327112,3
SEEP-SRB1_AC1,6.5,0.052742616,1
SEEP-SRB1_AC2,6.5,0.069995334,1
