Station,Subcore,Depth,Replicate,Domain,qPCR,Average,d13C,CtoN,TOC
AC,AC.1,11.5,A,Bacteria,3.42E+07,4.36E+07,-26.029,13.22,1.4652
AC,AC.1,12.5,A,Bacteria,1.76E+09,2.26E+09,-25.853,14.16,1.4652
AC,AC.1,13.5,A,Bacteria,7.33E+07,6.05E+07,-25.96,13.04,1.5234
AC,AC.1,14.5,A,Bacteria,5.64E+07,5.91E+07,,,1.434
AC,AC.1,15.5,A,Bacteria,1.69E+09,1.69E+09,-25.883,13.73,
AC,AC.1,16.5,A,Bacteria,,,-26.192,13.71,1.5113
AC,AC.1,17.5,A,Bacteria,7.77E+06,7.85E+06,-27.09,13.58,1.423
AC,AC.1,18.5,A,Bacteria,5.69E+06,5.70E+06,,,
AC,AC.1,19.5,A,Bacteria,3.73E+09,3.67E+09,-25.819,13.8,1.5154
AC,AC.1,0.5,A,Archaea,2.21E+06,4.17E+09,-26.329,13.4,
AC,AC.1,1.5,A,Archaea,6.25E+06,5.07E+06,-25.546,11.46,1.6505
AC,AC.1,2.5,A,Archaea,2.73E+07,1.92E+07,-25.637,13.08,
AC,AC.1,3.5,A,Archaea,5.06E+06,4.85E+06,-25.914,13.84,1.6498
AC,AC.1,4.5,A,Archaea,,,-25.66,12.23,1.6428
AC,AC.1,5.5,A,Archaea,4.10E+05,4.33E+05,-25.868,12.5,
AC,AC.1,6.5,A,Archaea,6.01E+06,3.94E+06,-25.966,12.74,1.6158
AC,AC.1,7.5,A,Archaea,1.49E+07,2.16E+07,-25.804,13.48,1.4508
AC,AC.1,8.5,A,Archaea,2.82E+07,2.66E+07,-25.854,13.36,1.3977
AC,AC.1,9.5,A,Archaea,,,-25.861,12.85,1.5654
AC,AC.1,10.5,A,Archaea,4.41E+05,3.43E+05,-26.364,13.88,
AC,AC.1,11.5,A,Archaea,1.23E+05,1.54E+05,-26.029,13.22,1.4652
AC,AC.1,12.5,A,Archaea,3.83E+06,3.56E+06,-25.853,14.16,1.4652
AC,AC.1,13.5,A,Archaea,7.78E+04,1.44E+05,-25.96,13.04,1.5234
AC,AC.1,14.5,A,Archaea,5.11E+05,5.99E+05,,,1.434
AC,AC.1,15.5,A,Archaea,3.23E+06,4.32E+06,-25.883,13.73,
AC,AC.1,16.5,A,Archaea,,,-26.192,13.71,1.5113
AC,AC.1,17.5,A,Archaea,2.28E+06,2.17E+06,-27.09,13.58,1.423
AC,AC.1,18.5,A,Archaea,3.36E+06,2.23E+06,-25.819,13.8,
AC,AC.1,19.5,A,Archaea,1.32E+06,1.28E+06,,,1.5154
AC,AC.1,0.5,B,Bacteria,1.55E+08,1.26E+08,-26.329,13.4,
